candidate_name,wave,region_cluster,scope_level,decision,entity_id,notes
Benz,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Daimler,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mercedes-Benz,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Panhard & Levassor,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
De Dion-Bouton,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Darracq,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mors,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Clément-Bayard,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Rochet-Schneider,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Napier,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Wolseley,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Austin,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Humber,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Vauxhall,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ford,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lincoln,M01,Pioneiras globais,A,published,df74636c-86e5-7fc1-a589-5068a6884195,Já existe no SQLite canônico.
Buick,M01,Pioneiras globais,A,published,ab6e603d-e65c-7ce3-8501-2be111f36e20,Já existe no SQLite canônico.
Cadillac,M01,Pioneiras globais,A,published,01a01030-3319-7f50-a974-c3181fd95e9c,Já existe no SQLite canônico.
Oldsmobile,M01,Pioneiras globais,A,published,01a0102a-57eb-7517-bd03-02951e02850f,Já existe no SQLite canônico.
Packard,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Peerless,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Pierce-Arrow,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Studebaker,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
REO,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Maxwell,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Rambler,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Locomobile,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
FIAT,M01,Pioneiras globais,A,published,01a0102a-57e9-79e4-82b2-6aa9183b80e1,Já existe no SQLite canônico.
Lancia,M01,Pioneiras globais,A,published,01a01030-3312-7d84-9a7e-34630d64f2b9,Já existe no SQLite canônico.
Itala,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Isotta Fraschini,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Alfa Romeo,M01,Pioneiras globais,A,published,4adad7ab-dbca-706a-a9a6-4189d43e3753,Já existe no SQLite canônico.
Hispano-Suiza,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Laurin & Klement,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
ŠKODA,M01,Pioneiras globais,A,published,01a01028-5453-7cda-9d69-1cfa772774a4,Já existe no SQLite canônico.
Tatra,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
