legacy_id,canonical_uuid,object_kind,source_dataset
gurgel:clm_000001,01a01016-ea57-7e7c-9298-bc494491f3be,claim,gurgel
gurgel:clm_000002,01a01016-ea57-73bc-8dce-e74b0221fd75,claim,gurgel
gurgel:clm_000003,01a01016-ea57-7a1f-adbb-f6f2813a04f9,claim,gurgel
gurgel:clm_000004,01a01016-ea57-7f16-97e8-ffce9249350f,claim,gurgel
gurgel:clm_000005,01a01016-ea57-7614-b624-94e0ba9a1fdb,claim,gurgel
gurgel:clm_000006,01a01016-ea57-7768-bda8-f73e649b15e4,claim,gurgel
gurgel:clm_000007,01a01016-ea57-7b72-a246-1e680de530c2,claim,gurgel
gurgel:clm_000008,01a01016-ea57-792c-ab05-19af237d643e,claim,gurgel
gurgel:clm_000009,01a01016-ea57-7914-8999-092e3b117152,claim,gurgel
gurgel:clm_000010,01a01016-ea57-7719-b4b2-6c47e16ee927,claim,gurgel
gurgel:clm_000011,01a01016-ea57-7384-a9e8-7f258009e1ab,claim,gurgel
gurgel:clm_000012,01a01016-ea57-73a8-8bfb-546234dbae69,claim,gurgel
gurgel:clm_000013,01a01016-ea57-7d88-8430-68c1e6f3601c,claim,gurgel
gurgel:clm_000014,01a01016-ea57-7f06-858f-a9e3fae8a164,claim,gurgel
gurgel:clm_000015,01a01016-ea57-7956-8099-4567ff51b527,claim,gurgel
gurgel:clm_000016,01a01016-ea57-7dd8-8c33-03986939cc05,claim,gurgel
gurgel:clm_000017,01a01016-ea57-7643-aa57-e4114091c4d7,claim,gurgel
gurgel:clm_000018,01a01016-ea57-7ed3-8a6d-ad07ca6f9c00,claim,gurgel
gurgel:clm_000019,01a01016-ea57-7171-8cc1-8417d82f0671,claim,gurgel
gurgel:clm_000020,01a01016-ea57-7f21-9708-3594b95423e8,claim,gurgel
gurgel:clm_000021,01a01016-ea57-7ade-97e7-c992bb140d1d,claim,gurgel
modelt:clm_000001,01a01016-ea57-78a6-9f31-0eb59e9b608a,claim,modelt
modelt:clm_000002,01a01016-ea57-7976-ae73-4ba3d193f6f7,claim,modelt
modelt:clm_000003,01a01016-ea57-73e4-9efc-097b54e63fb6,claim,modelt
modelt:clm_000004,01a01016-ea57-7586-a78f-97245a510e19,claim,modelt
modelt:clm_000005,01a01016-ea57-7b04-9474-0472b8e5a964,claim,modelt
modelt:clm_000006,01a01016-ea58-79ac-927d-eafa06a4d29b,claim,modelt
modelt:clm_000007,01a01016-ea58-7fe1-9dd8-b0e5a793d26d,claim,modelt
modelt:clm_000008,01a01016-ea58-7cbd-836b-4b25b3fab9ec,claim,modelt
modelt:clm_000009,01a01016-ea58-7942-ab28-49a2ac13b429,claim,modelt
modelt:clm_000010,01a01016-ea58-74c7-af62-2c51103d728d,claim,modelt
modelt:clm_000011,01a01016-ea58-7611-a39a-11937b4da9e9,claim,modelt
modelt:clm_000012,01a01016-ea58-7601-b9d3-e1f0f18f91eb,claim,modelt
modelt:clm_000013,01a01016-ea58-704c-b3f1-b22a495572eb,claim,modelt
p911:clm_000100,01a01016-ea58-7358-82b3-c593cdcc02a6,claim,p911
p911:clm_000101,01a01016-ea58-7e32-bb2f-58e8bcb0f590,claim,p911
p911:clm_000102,01a01016-ea58-7e73-b426-c536642dc204,claim,p911
p911:clm_000103,01a01016-ea58-78af-918b-e77c44254ea5,claim,p911
p911:clm_000104,01a01016-ea58-7134-92b3-6b30c4437636,claim,p911
p911:clm_000105,01a01016-ea58-72b8-a552-d5c8e446b38c,claim,p911
p911:clm_000106,01a01016-ea58-7c47-b3da-ca399d615113,claim,p911
p911:clm_000107,01a01016-ea58-70a0-8e97-b85aed154950,claim,p911
p911:clm_000108,01a01016-ea58-7022-994e-cf58cfa4ea79,claim,p911
p911:clm_000109,01a01016-ea58-726a-a4b7-f3970d8970ec,claim,p911
p911:clm_000110,01a01016-ea58-7910-a0bd-84a268397715,claim,p911
p911:clm_000111,01a01016-ea58-7571-b5c2-ed10d0f56269,claim,p911
p911:clm_000112,01a01016-ea58-760e-8764-ed49ee367952,claim,p911
p911:clm_000113,01a01016-ea58-7dc4-87aa-8af44a01fc84,claim,p911
p911:clm_000114,01a01016-ea58-7878-9f21-49d8685dc774,claim,p911
p911:clm_000115,01a01016-ea58-74e3-beb7-08d90de9b2a5,claim,p911
p911:clm_000116,01a01016-ea58-7bfc-a89d-edc56eaf840a,claim,p911
p911:clm_000117,01a01016-ea58-7cb2-81c7-09fd738a4b39,claim,p911
p911:clm_000118,01a01016-ea58-798c-9a38-101182734a63,claim,p911
p911:clm_000119,01a01016-ea58-793e-be98-4048028ae802,claim,p911
p911:clm_000120,01a01016-ea58-7921-a1be-f2ab164f5965,claim,p911
p911:clm_000121,01a01016-ea58-7fea-b3f5-5da1f1d6e1c3,claim,p911
p911:clm_000122,01a01016-ea58-7970-bb75-5dc27bb3b70d,claim,p911
p911:clm_000123,01a01016-ea58-7a17-acb8-45edd622cd6c,claim,p911
p911:clm_000124,01a01016-ea58-77f5-9a60-54fec8baf93a,claim,p911
p911:clm_000125,01a01016-ea58-7d06-b7c8-40c4169ee8ed,claim,p911
p911:clm_000126,01a01016-ea58-7273-afda-dd9cec0fed3d,claim,p911
p911:clm_000127,01a01016-ea58-7d29-ada4-079796f2154f,claim,p911
p911:clm_000128,01a01016-ea58-757b-bd1a-54e7abf0f71a,claim,p911
p911:clm_000129,01a01016-ea58-71f7-a761-9b6c160fde55,claim,p911
p911:clm_000130,01a01016-ea58-733e-b5a1-acd9244db78b,claim,p911
p911:clm_000131,01a01016-ea58-7266-a9d3-24c97cc7a32a,claim,p911
p911:clm_000132,01a01016-ea58-7379-af60-c3ce698cb249,claim,p911
p911:clm_000133,01a01016-ea58-7cf7-a0f5-e13ac2503ddd,claim,p911
p911:clm_000134,01a01016-ea58-7f65-b26c-8f470e9ddbc5,claim,p911
p911:clm_000135,01a01016-ea58-78dc-9beb-d69721ed8947,claim,p911
p911:clm_000136,01a01016-ea58-73ad-9933-1852964c6b53,claim,p911
p911:clm_000137,01a01016-ea58-7489-b217-b998989b838f,claim,p911
p911:clm_000138,01a01016-ea58-7fa5-8867-2994d513c113,claim,p911
p911:clm_000139,01a01016-ea58-7ea5-b53d-87cd0123a1e7,claim,p911
p911:clm_000140,01a01016-ea58-794c-9c4b-18c4dde42d5f,claim,p911
p911:clm_000141,01a01016-ea59-7071-b80a-360c8ac99e72,claim,p911
p911:clm_000142,01a01016-ea59-7d95-b984-0752cffca7a6,claim,p911
p911:clm_000143,01a01016-ea59-790b-82b5-ecb628d0589a,claim,p911
p911:clm_000144,01a01016-ea59-7125-944a-2f36cb84abae,claim,p911
p911:clm_000145,01a01016-ea59-71ed-beda-4ceaa50505f6,claim,p911
p911:clm_000146,01a01016-ea59-7963-a130-983ff9461ba4,claim,p911
p911:clm_000147,01a01016-ea59-74af-89f0-7516e3064f05,claim,p911
p911:clm_000148,01a01016-ea59-711f-ba34-2647f401dca0,claim,p911
p911:clm_000149,01a01016-ea59-76a5-80a6-ea36800a7ff7,claim,p911
p911:clm_000150,01a01016-ea59-796a-b662-5f0dc04d049d,claim,p911
p911:clm_000151,01a01016-ea59-732d-8ecb-16c360e3f733,claim,p911
p911:clm_000152,01a01016-ea59-78e5-964c-3dfdb599bdb4,claim,p911
p911:clm_000153,01a01016-ea59-7c22-91ca-c2f5b8906d53,claim,p911
p911:clm_000154,01a01016-ea59-71d2-85fe-53d7cd6aaa83,claim,p911
p911:clm_000155,01a01016-ea59-7e93-b37a-6c37ba93303f,claim,p911
p911:clm_000156,01a01016-ea59-7c20-bf53-a4a6d97fabae,claim,p911
p911:clm_000157,01a01016-ea59-7ba2-ad7e-640dfb9c9065,claim,p911
p911:clm_000158,01a01016-ea59-70c6-9563-46d26fbe6fad,claim,p911
p911:clm_000159,01a01016-ea59-7009-8799-90a50a64586d,claim,p911
p911:clm_000160,01a01016-ea59-79ba-a67a-ecdfd41321f4,claim,p911
p911:clm_000161,01a01016-ea59-792f-ae17-8bad5611b32e,claim,p911
p911:clm_000162,01a01016-ea59-73de-84ef-b0de3e43027d,claim,p911
p911:clm_000163,01a01016-ea59-78bf-9082-9af6bf4cea71,claim,p911
p911:clm_000164,01a01016-ea59-7926-87e0-0f23997b771b,claim,p911
p911:clm_000165,01a01016-ea59-7f3e-8b46-2303bf431ea4,claim,p911
p911:clm_000166,01a01016-ea59-7433-bced-95733c2dc1f4,claim,p911
p911:clm_000167,01a01016-ea59-7398-a6be-f93b9cb53a40,claim,p911
p911:clm_000168,01a01016-ea59-7705-830b-7eefbf9b9464,claim,p911
p917:clm_000001,01a01016-ea59-720b-96a5-25828bc0eada,claim,p917
p917:clm_000002,01a01016-ea59-7693-993e-cb80c62fedf8,claim,p917
p917:clm_000003,01a01016-ea59-700e-b90b-b575781a6dc2,claim,p917
p917:clm_000004,01a01016-ea59-7007-89e3-184f3eaa0dfd,claim,p917
p917:clm_000005,01a01016-ea59-7746-9de3-cd90eae8bac1,claim,p917
p917:clm_000006,01a01016-ea59-719f-acc9-a09a1a90f8a7,claim,p917
p917:clm_000007,01a01016-ea59-79e7-8f60-490b6b4eb4e2,claim,p917
p917:clm_000008,01a01016-ea59-7494-ba10-d21f07038ac4,claim,p917
p917:clm_000009,01a01016-ea59-7aa1-a2fb-ab5a46b60137,claim,p917
p917:clm_000010,01a01016-ea59-7714-8aef-37422dd8412c,claim,p917
p917:clm_000011,01a01016-ea59-733e-a54a-a64df19770f2,claim,p917
p917:clm_000012,01a01016-ea59-7254-92c1-39e13ac97664,claim,p917
p917:clm_000013,01a01016-ea59-78a0-9b63-2ea9c9942695,claim,p917
p917:clm_000014,01a01016-ea59-7918-8f9b-b4518e6c8ed2,claim,p917
p917:clm_000015,01a01016-ea59-7f14-a002-86d73e7e9a7d,claim,p917
p917:clm_000016,01a01016-ea59-7eee-bfff-72e377d45c87,claim,p917
p917:clm_000017,01a01016-ea59-7b18-a62c-809852a4e728,claim,p917
p917:clm_000018,01a01016-ea59-7c94-b689-d1146d1e9117,claim,p917
p917:clm_000019,01a01016-ea59-7268-9654-221384c9cfec,claim,p917
p917:clm_000020,01a01016-ea59-7766-9079-e23e12f2591e,claim,p917
p917:clm_000021,01a01016-ea59-7f54-9161-7a1cb5bdd340,claim,p917
p917:clm_000022,01a01016-ea59-7ee0-8f0e-3f139926b3be,claim,p917
p917:clm_000023,01a01016-ea5a-70a7-af48-52dd4f702c2c,claim,p917
p917:clm_000024,01a01016-ea5a-73bb-9f0c-3fcb7d1d58f1,claim,p917
p917:clm_000025,01a01016-ea5a-729d-81d7-4cc8adf2ecdf,claim,p917
p917:clm_000026,01a01016-ea5a-7ec8-b1bd-ea3a7903b773,claim,p917
p917:clm_000027,01a01016-ea5a-7fe6-bc3c-145e142d8276,claim,p917
p917:clm_000028,01a01016-ea5a-7edd-a0df-8f9e2165c227,claim,p917
p917:clm_000029,01a01016-ea5a-752f-bf6c-935f9e46a8f3,claim,p917
p917:clm_000030,01a01016-ea5a-7a7a-b019-d21c1ca6389c,claim,p917
p917:clm_000031,01a01016-ea5a-73ec-af97-11cc901a729e,claim,p917
p917:clm_000032,01a01016-ea5a-71ad-b0d3-d40b50dfaaf0,claim,p917
p917:clm_000033,01a01016-ea5a-7a0b-92b8-2a26e4900959,claim,p917
p917:clm_000034,01a01016-ea5a-781e-9781-9b5a4320a42b,claim,p917
p917:clm_000035,01a01016-ea5a-7f16-98be-7e42eabac782,claim,p917
p917:clm_000036,01a01016-ea5a-7426-aa82-746cb508f125,claim,p917
p917:clm_000037,01a01016-ea5a-71c2-9809-86f0b53605f5,claim,p917
p917:clm_000038,01a01016-ea5a-7923-8518-c0f3922b7bff,claim,p917
p917:clm_000039,01a01016-ea5a-7218-a2cf-68b70e4bf007,claim,p917
p917:clm_000040,01a01016-ea5a-765a-8638-b7d32e814ecc,claim,p917
p917:clm_000041,01a01016-ea5a-7a31-909b-12ad5da989b9,claim,p917
p917:clm_000042,01a01016-ea5a-738c-8eb3-a1ab9fda2211,claim,p917
p917:clm_000043,01a01016-ea5a-7f58-9b68-9854c7ff4ec8,claim,p917
p917:clm_000044,01a01016-ea5a-7acc-87e9-bb294ce06c80,claim,p917
p917:clm_000045,01a01016-ea5a-7c0e-b3ef-b180c1b9da87,claim,p917
p917:clm_000046,01a01016-ea5a-7d0a-a836-cf74b1f37319,claim,p917
p917:clm_000047,01a01016-ea5a-706c-af88-eecd0f6ed88d,claim,p917
p917:clm_000048,01a01016-ea5a-71e3-bd8f-8457cb611622,claim,p917
p917:clm_000049,01a01016-ea5a-732f-904a-2317ee453f11,claim,p917
p917:clm_000050,01a01016-ea5a-78e4-a5bb-3181290782df,claim,p917
