statement_id,subject_atlas_id,predicate,object_type,object_entity_atlas_id,literal_value,object_precision,valid_from,valid_from_precision,valid_until,valid_until_precision,qualifiers_json,confidence_label,resolution_status,source_ids
gurgel:stm_br_001,gurgel:veh_br800,manufactured_by,entity,gurgel:org_gurgel,,,,,,,,high,accepted,gurgel:src_br_rio|gurgel:src_br_qr
gurgel:stm_br_002,gurgel:veh_br800,marketed_under,entity,gurgel:brd_gurgel,,,,,,,,high,accepted,gurgel:src_br_rio|gurgel:src_br_qr
gurgel:stm_br_003,gurgel:org_gurgel,founded_by,entity,gurgel:per_gurgel,,,,,,,,high,accepted,gurgel:src_br_rio
gurgel:stm_br_004,gurgel:org_gurgel,located_in,entity,gurgel:plc_rioclaro,,,,,,,,high,accepted,gurgel:src_br_rio
gurgel:stm_br_005,gurgel:plc_rioclaro,located_in,entity,gurgel:plc_brazil,,,,,,,,high,accepted,gurgel:src_br_rio
gurgel:stm_br_006,gurgel:veh_br800,uses_component,entity,gurgel:cmp_enertron,,,,,,,,high,accepted,gurgel:src_br_qr_engine|gurgel:src_br_qr_super
gurgel:stm_br_007,gurgel:veh_supermini,successor_of,entity,gurgel:veh_br800,,,,,,,,high,accepted,gurgel:src_br_qr_super
gurgel:stm_br_008,gurgel:evt_br_start,occurred_on,date,,1988,year,,,,,,high,accepted,gurgel:src_br_rio
gurgel:stm_br_009,gurgel:evt_br_end,occurred_on,date,,1991,year,,,,,,high,accepted,gurgel:src_br_rio|gurgel:src_br_qr_super
gurgel:stm_br_010,gurgel:evt_gurgel_concordata,occurred_on,date,,1993,year,,,,,,high,accepted,gurgel:src_br_qr
gurgel:stm_br_011,gurgel:evt_gurgel_bankruptcy,occurred_on,date,,1994-05,month,,,,,,high,accepted,gurgel:src_br_qr
gurgel:stm_br_012,gurgel:evt_gurgel_close,occurred_on,date,,1996,year,,,,,,medium,needs_reconciliation,gurgel:src_br_rio
gurgel:stm_br_013,gurgel:evt_br_start,involved,entity,gurgel:veh_br800,,,,,,,,high,accepted,gurgel:src_br_rio
gurgel:stm_br_014,gurgel:evt_br_end,involved,entity,gurgel:veh_br800,,,,,,,,high,accepted,gurgel:src_br_rio
gurgel:stm_br_015,gurgel:evt_gurgel_concordata,involved,entity,gurgel:org_gurgel,,,,,,,,high,accepted,gurgel:src_br_qr
gurgel:stm_br_016,gurgel:evt_gurgel_bankruptcy,involved,entity,gurgel:org_gurgel,,,,,,,,high,accepted,gurgel:src_br_qr
gurgel:stm_br_017,gurgel:evt_gurgel_close,involved,entity,gurgel:org_gurgel,,,,,,,,high,accepted,gurgel:src_br_rio
modelt:stm_mt_001,modelt:veh_modelt,manufactured_by,entity,modelt:org_ford,,,,,,,,high,accepted,modelt:src_mt_model
modelt:stm_mt_002,modelt:veh_modelt,produced_at,entity,modelt:fac_piquette,,,,,1910,year,,high,accepted,modelt:src_mt_highland
modelt:stm_mt_003,modelt:veh_modelt,produced_at,entity,modelt:fac_highland,,,1910,year,,,,high,accepted,modelt:src_mt_highland
modelt:stm_mt_004,modelt:fac_highland,used_technology,entity,modelt:tec_moving_line,,,1913-10,month,,,,high,accepted,modelt:src_mt_highland
modelt:stm_mt_005,modelt:veh_modelt,used_technology,entity,modelt:tec_vanadium,,,,,,,,high,accepted,modelt:src_mt_model
modelt:stm_mt_006,modelt:evt_first_delivery,occurred_on,date,,1908-10-01,day,,,,,,high,accepted,modelt:src_mt_model
