atlas_id,entity_type,canonical_name,slug,metadata_json,names_json,external_ids_json
gurgel:brd_gurgel,brand,Gurgel,,,,
p917:cir_000001,circuit,Circuit de la Sarthe,circuit-de-la-sarthe,,,
ring:cir_ring,circuit,Nürburgring,,"{""circuit_status"": ""active""}",,
p917:cir_000002,circuit,Österreichring,osterreichring,,,
ring:lay_total1927,circuit_layout,Nürburgring Gesamtstrecke (1927),,"{""length_km"": 28.265}",,
ring:lay_gp1984,circuit_layout,Nürburgring Grand Prix Circuit (1984),,"{""length_km"": 4.542}",,
ring:lay_gp2002,circuit_layout,Nürburgring Grand Prix Circuit with AMG Arena (2002),,"{""length_km"": 5.148}",,
ring:lay_nord1927,circuit_layout,Nürburgring Nordschleife (1927 configuration),,"{""length_km"": 22.81}",,
ring:lay_nord_current,circuit_layout,Nürburgring Nordschleife (current 20.832 km configuration),,"{""length_km"": 20.832}",,
ring:lay_sud1927,circuit_layout,Nürburgring Südschleife (1927 configuration),,"{""length_km"": 7.747}",,
p917:com_000002,competition,1000 km Zeltweg,1000-km-zeltweg,,,
p917:com_000001,competition,24 Hours of Le Mans,24-hours-of-le-mans,,,
gurgel:cmp_enertron,component,Gurgel Enertron,,"{""component_type"": ""engine""}",,
p917:cmp_000001,component,Porsche Type 912 twelve-cylinder engine,porsche-type-912-engine,"{""component_type"": ""engine""}",,
p917:ent_000001,entry,1969 Zeltweg — Porsche 917 — Siffert/Ahrens,,"{""entry_type"": ""motorsport_entry""}",,
p917:ent_000002,entry,1970 Le Mans #23 — Porsche 917 K 917-023 — Attwood/Herrmann,,"{""entry_type"": ""motorsport_entry""}",,
p917:evt_000004,event,1969 1000 km Zeltweg,,"{""event_type"": ""motorsport_event"", ""realization_status"": ""occurred""}",,
p917:evt_000005,event,1970 24 Hours of Le Mans,,"{""event_type"": ""motorsport_event"", ""realization_status"": ""occurred""}",,
p917:evt_000001,event,Completion of Porsche 917-001,,"{""event_type"": ""vehicle_completion"", ""realization_status"": ""occurred""}",,
gurgel:evt_br_end,event,End of BR-800 production,,"{""event_type"": ""production_end"", ""realization_status"": ""occurred""}",,
modelt:evt_modelt_end,event,End of Ford Model T production,,"{""event_type"": ""production_end"", ""realization_status"": ""occurred""}",,
modelt:evt_first_delivery,event,First Model T customer delivery,,"{""event_type"": ""launch"", ""realization_status"": ""occurred""}",,
p917:evt_000002,event,Geneva presentation of Porsche 917,,"{""event_type"": ""presentation"", ""realization_status"": ""occurred""}",,
ring:evt_gp_extend2002,event,Grand Prix Circuit extended with AMG Arena,,"{""event_type"": ""circuit_layout_change"", ""realization_status"": ""occurred""}",,
gurgel:evt_gurgel_bankruptcy,event,Gurgel bankruptcy,,"{""event_type"": ""bankruptcy"", ""realization_status"": ""occurred""}",,
gurgel:evt_gurgel_concordata,event,Gurgel concordata request,,"{""event_type"": ""insolvency"", ""realization_status"": ""occurred""}",,
gurgel:evt_gurgel_close,event,Gurgel operations closure reported by Rio Claro,,"{""event_type"": ""operations_end"", ""realization_status"": ""occurred""}",,
p911:evt_000104,event,Introduction of turbocharger in Porsche 911,,"{""event_type"": ""technology_introduction"", ""realization_status"": ""occurred""}",,
modelt:evt_highland_move,event,Model T production moved to Highland Park,,"{""event_type"": ""production_change"", ""realization_status"": ""occurred""}",,
modelt:evt_moving_line,event,Moving assembly line first operated for automobiles at Highland Park,,"{""event_type"": ""technology_introduction"", ""realization_status"": ""occurred""}",,
ring:evt_rebuild1981,event,Nürburgring Grand Prix circuit reconstruction begins,,"{""event_type"": ""circuit_reconstruction"", ""realization_status"": ""occurred""}",,
ring:evt_ring_open,event,Nürburgring opening weekend,,"{""event_type"": ""circuit_opening"", ""realization_status"": ""occurred""}",,
ring:evt_gp_open1984,event,Opening of new Nürburgring Grand Prix Circuit,,"{""event_type"": ""circuit_layout_opening"", ""realization_status"": ""occurred""}",,
p911:evt_000102,event,Porsche 901 renamed Porsche 911,,"{""event_type"": ""designation_change"", ""realization_status"": ""occurred""}",,
p917:evt_000003,event,Porsche 917 homologation,,"{""event_type"": ""homologation"", ""realization_status"": ""occurred""}",,
p911:evt_000106,event,Presentation of Porsche 911 Type 992,,"{""event_type"": ""presentation"", ""realization_status"": ""occurred""}",,
p911:evt_000105,event,Presentation of Porsche 911 Type 996,,"{""event_type"": ""presentation"", ""realization_status"": ""occurred""}",,
p911:evt_000103,event,Presentation of first Porsche 911 Targa,,"{""event_type"": ""presentation"", ""realization_status"": ""occurred""}",,
p911:evt_000101,event,Series production start of Porsche 901,,"{""event_type"": ""production_start"", ""realization_status"": ""occurred""}",,
