atlas_id,label,description,entity_type,slug,external_ids_json
gurgel:brd_gurgel,Gurgel,Atlas entity: brand,brand,,
p917:cir_000001,Circuit de la Sarthe,Atlas entity: circuit,circuit,circuit-de-la-sarthe,
ring:cir_ring,Nürburgring,Atlas entity: circuit,circuit,,
p917:cir_000002,Österreichring,Atlas entity: circuit,circuit,osterreichring,
ring:lay_total1927,Nürburgring Gesamtstrecke (1927),Atlas entity: circuit_layout,circuit_layout,,
ring:lay_gp1984,Nürburgring Grand Prix Circuit (1984),Atlas entity: circuit_layout,circuit_layout,,
ring:lay_gp2002,Nürburgring Grand Prix Circuit with AMG Arena (2002),Atlas entity: circuit_layout,circuit_layout,,
ring:lay_nord1927,Nürburgring Nordschleife (1927 configuration),Atlas entity: circuit_layout,circuit_layout,,
ring:lay_nord_current,Nürburgring Nordschleife (current 20.832 km configuration),Atlas entity: circuit_layout,circuit_layout,,
ring:lay_sud1927,Nürburgring Südschleife (1927 configuration),Atlas entity: circuit_layout,circuit_layout,,
p917:com_000002,1000 km Zeltweg,Atlas entity: competition,competition,1000-km-zeltweg,
p917:com_000001,24 Hours of Le Mans,Atlas entity: competition,competition,24-hours-of-le-mans,
gurgel:cmp_enertron,Gurgel Enertron,Atlas entity: component,component,,
p917:cmp_000001,Porsche Type 912 twelve-cylinder engine,Atlas entity: component,component,porsche-type-912-engine,
p917:ent_000001,1969 Zeltweg — Porsche 917 — Siffert/Ahrens,Atlas entity: entry,entry,,
p917:ent_000002,1970 Le Mans #23 — Porsche 917 K 917-023 — Attwood/Herrmann,Atlas entity: entry,entry,,
p917:evt_000004,1969 1000 km Zeltweg,Atlas entity: event,event,,
p917:evt_000005,1970 24 Hours of Le Mans,Atlas entity: event,event,,
p917:evt_000001,Completion of Porsche 917-001,Atlas entity: event,event,,
gurgel:evt_br_end,End of BR-800 production,Atlas entity: event,event,,
modelt:evt_modelt_end,End of Ford Model T production,Atlas entity: event,event,,
modelt:evt_first_delivery,First Model T customer delivery,Atlas entity: event,event,,
p917:evt_000002,Geneva presentation of Porsche 917,Atlas entity: event,event,,
ring:evt_gp_extend2002,Grand Prix Circuit extended with AMG Arena,Atlas entity: event,event,,
gurgel:evt_gurgel_bankruptcy,Gurgel bankruptcy,Atlas entity: event,event,,
gurgel:evt_gurgel_concordata,Gurgel concordata request,Atlas entity: event,event,,
gurgel:evt_gurgel_close,Gurgel operations closure reported by Rio Claro,Atlas entity: event,event,,
p911:evt_000104,Introduction of turbocharger in Porsche 911,Atlas entity: event,event,,
modelt:evt_highland_move,Model T production moved to Highland Park,Atlas entity: event,event,,
modelt:evt_moving_line,Moving assembly line first operated for automobiles at Highland Park,Atlas entity: event,event,,
ring:evt_rebuild1981,Nürburgring Grand Prix circuit reconstruction begins,Atlas entity: event,event,,
ring:evt_ring_open,Nürburgring opening weekend,Atlas entity: event,event,,
ring:evt_gp_open1984,Opening of new Nürburgring Grand Prix Circuit,Atlas entity: event,event,,
p911:evt_000102,Porsche 901 renamed Porsche 911,Atlas entity: event,event,,
p917:evt_000003,Porsche 917 homologation,Atlas entity: event,event,,
p911:evt_000106,Presentation of Porsche 911 Type 992,Atlas entity: event,event,,
