priority,status,score,entity_id,entity_type,canonical_name,description_words,connected_statements,required_statements,evidenced_statements,gaps
P4,catalog,0,6d5e318e-3832-7ae2-abaa-c5866fff8e17,brand,AC,38,0,3,0,editorial_promotion_required
P4,catalog,0,48c22476-ce51-78e5-8367-47b4460f5c1b,brand,ACE EV,39,0,3,0,editorial_promotion_required
P4,catalog,0,588f2614-edf1-7c8e-862a-af900aea1175,brand,AMC,37,0,3,0,editorial_promotion_required
P4,catalog,0,e05504e5-c761-738a-b9c2-3299f1594917,brand,ASA,40,0,3,0,editorial_promotion_required
P4,catalog,0,6ae5b2ad-4c19-71b6-8ca4-46a942f53b00,brand,ASA Argentina,29,0,3,0,editorial_promotion_required
P4,catalog,0,4cb0b60d-0cc7-76e3-97ea-5722f2745466,brand,ATS,40,0,3,0,editorial_promotion_required
P4,catalog,0,1d291b9a-fa72-7216-8eab-6c4c2200cdfb,brand,Abarth,40,0,3,0,editorial_promotion_required
P4,catalog,0,01dd24a4-4e9a-7ec6-bdba-f8f3d163177f,brand,Acadian,37,0,3,0,editorial_promotion_required
P4,catalog,0,6e4fe7d3-5da3-7561-ae49-6911b4878d26,brand,Acura,37,0,3,0,editorial_promotion_required
P4,catalog,0,d0f8cc33-fb34-7978-84fc-e3d9a42e745e,brand,Adamastor,30,0,3,0,editorial_promotion_required
P4,catalog,0,909634e0-4b6d-760b-9c54-34baa32f6108,brand,Adamo,29,0,3,0,editorial_promotion_required
P4,catalog,0,15a34202-09d4-7e1b-ac97-f72605b04b8f,brand,Adler,38,0,3,0,editorial_promotion_required
P4,catalog,0,311f415e-b5cb-71f9-a033-4787bfea33f9,brand,Aero,38,0,3,0,editorial_promotion_required
P4,catalog,0,b3254f50-2e17-72a8-901e-5834d8a224a6,brand,Africar,39,0,3,0,editorial_promotion_required
P4,catalog,0,c2a04dac-dd58-73af-ada2-de2acc4d33e9,brand,Agrale,38,0,3,0,editorial_promotion_required
P4,catalog,0,f1f17920-3b07-71df-9e55-d200545afee9,brand,Aichi Machine Industry,28,0,3,0,editorial_promotion_required
P4,catalog,0,c148a737-225f-7e11-913d-01a196cf1e00,brand,Aion,39,0,3,0,editorial_promotion_required
P4,catalog,0,b16bf2fc-cc2d-77b2-9a6a-592732b71359,brand,Aito,39,0,3,0,editorial_promotion_required
P4,catalog,0,145e4590-c5e2-784f-9650-46b8673e4089,brand,Aiways,39,0,3,0,editorial_promotion_required
P4,catalog,0,3fd5f098-11e6-7de8-904e-42c5a09945c5,brand,Aleko,40,0,3,0,editorial_promotion_required
P3,complete,100.0,4adad7ab-dbca-706a-a9a6-4189d43e3753,brand,Alfa Romeo,37,3,3,3,
P4,catalog,0,d9e7dcf7-803c-75ee-80ed-c3b6d170f2e9,brand,Allard,38,0,3,0,editorial_promotion_required
P4,catalog,0,15d6c1b3-ef3f-765b-96b9-df562f9cb580,brand,Almac,39,0,3,0,editorial_promotion_required
P4,catalog,0,e9f3d5a4-d10e-713a-bf7c-fba1fbd38a76,brand,Alvis,38,0,3,0,editorial_promotion_required
P4,catalog,0,0879cf3c-b32f-7714-9568-528dd441cdb7,brand,Amilcar,38,0,3,0,editorial_promotion_required
P4,catalog,0,df3c902e-8931-76fc-ac9a-f76e1b57b3b1,brand,Anasagasti,38,0,3,0,editorial_promotion_required
P4,catalog,0,1644f252-3442-7c4f-a2b9-9e5427e7cdcc,brand,Anziel,30,0,3,0,editorial_promotion_required
P4,catalog,0,3de169f8-251d-729f-b431-1e462fb90926,brand,Apal,39,0,3,0,editorial_promotion_required
P4,catalog,0,1165cdd4-a423-72d7-a30e-f12638959b09,brand,Aptera,37,0,3,0,editorial_promotion_required
P4,catalog,0,d7e33c43-598d-7ba0-9a43-f4be0241d762,brand,Arcfox,39,0,3,0,editorial_promotion_required
P4,catalog,0,1510c3a4-b9a8-7860-8361-ff33465bfebb,brand,Ariel,38,0,3,0,editorial_promotion_required
